CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
04.368.898/0001-06;2023-12-31;5;136015;COPEL DISTRIBUIÇÃO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
04.370.282/0001-70;2023-12-31;7;136011;COPEL GERAÇÃO E TRANSMISSÃO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;34635;95;982;1579630820;99.680000;0;0.000000;1579630820;99.680000;2023-12-21
04.437.534/0001-30;2023-12-31;2;133495;LOCAMÉRICA RENT-A-CAR S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-05-03
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2023-01-06
04.752.991/0001-10;2023-12-31;19;137854;BIOMM S.A.;2053;118;0;84612073;66.707000;0;0.000000;84612073;66.707000;2024-04-17
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;330;17;0;4047781;64.391000;0;0.000000;4047781;64.391000;2024-02-23
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;3543;220;0;42028010;1.924000;2459948;55.908000;44487958;2.033000;2023-04-28
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;14964;539;3;1675606;2.989000;0;0.000000;1675606;2.989000;2022-08-26
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;218;1;0;24;0.343000;5;0.167000;29;0.290000;2001-04-30
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;219;113;2;2036;0.021000;0;0.000000;2036;0.021000;2023-04-28
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;4;2;0;0;0.000000;0;0.000000;0;0.000000;2024-02-21
