CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Exterior;0;0;0;0;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Nordeste;22;342;175;586;4;0;11
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Norte;14;137;59;302;4;0;9
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Sudeste;62;2040;289;916;9;0;24
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Sul;24;1700;154;412;4;0;19
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Centro-Oeste;328;3929;1812;13589;141;479;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Exterior;0;0;0;0;0;7040;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Nordeste;56;914;454;1792;17;152;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Norte;2;57;18;185;1;9;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Sudeste;198;6315;2059;5398;63;1317;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Sul;544;29196;5126;12786;312;1934;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Nordeste;0;0;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Norte;0;0;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Sudeste;0;0;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Exterior;0;0;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Nordeste;0;0;0;0;0;0;1641
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Norte;0;0;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Sudeste;0;0;0;0;0;0;3529
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Sul;0;0;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Exterior;0;0;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Nordeste;0;0;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Norte;0;0;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Sudeste;3;111;17;56;0;0;17
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Sul;0;0;0;0;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Centro-Oeste;0;0;0;0;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Exterior;0;0;0;0;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Nordeste;1;7;8;7;0;7;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Norte;0;0;0;0;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Sudeste;0;1;0;2;0;1;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Sul;0;0;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Nordeste;0;0;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Norte;0;0;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Sudeste;0;5;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Centro-Oeste;0;0;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Exterior;0;0;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Nordeste;0;0;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Norte;0;0;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Sudeste;0;0;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Sul;0;0;0;0;0;0;0
