CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;g;Valor Patrimonial da Ação (Reais Unidade);21.32000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;h;Resultado Básico por Ação;4.56000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;i;Resultado Diluído por Ação;4.45000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;a;Patrimônio Líquido;2216048000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;b;Ativo Total;3345263000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;1168137000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;d;Resultado Bruto;775925000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;e;Resultado Líquido;520100000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;f;Número de Ações, Ex-Tesouraria;98844000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;g;Valor Patrimonial da Ação (Reais Unidade);21.64000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;h;Resultado Básico por Ação;5.26180000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;i;Resultado Diluído por Ação;5.23000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2019-04-01;2020-03-31;a;Patrimônio Líquido;7588177000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2019-04-01;2020-03-31;b;Ativo Total;44900004000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2019-04-01;2020-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;30710614000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2019-04-01;2020-03-31;d;Resultado Bruto;2387944000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2019-04-01;2020-03-31;e;Resultado Líquido;273979000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2019-04-01;2020-03-31;f;Número de Ações, Ex-Tesouraria;7376625656.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2019-04-01;2020-03-31;g;Valor Patrimonial da Ação (Reais Unidade);1.02900000;Consolidado;Real;Unidade
