CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746436;2023-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746436;2022-03-31;697.96074000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746436;2021-03-31;-29.62642200;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746436;2020-03-31;-14.59896000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746437;2023-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746437;2022-03-31;23.09460100;0.00000000;40000000.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746437;2021-03-31;10.83234700;0.00000000;28650911.69
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746437;2020-03-31;13.17378100;0.00000000;35556131.10
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746438;2023-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746438;2022-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746438;2021-03-31;14.71374900;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746438;2020-03-31;3.49959400;0.00000000;83472409.73
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746439;2023-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746439;2022-03-31;100.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746439;2021-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746439;2020-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746440;2023-03-31;0.00000000;0.00000000;0.00
